7, 102, 109, 117, 162, 229, 233, 254, 274, 295, 319, 320, 352, 401, 416, 484, 609, 620, 626, 645, 647, 702, 711, 729, 773, 817, 872, 890, 954, 979, 1017, 1021
1, 6, 16, 49, 68, 176, 191, 213, 268, 286, 287, 318, 432, 457, 516, 519, 520, 538, 551, 555, 559, 626, 695, 704, 708, 711, 775, 882, 899, 934, 1004, 1014
38, 74, 97, 164, 237, 315, 321, 345, 351, 396, 398, 476, 505, 507, 520, 543, 545, 566, 587, 603, 624, 635, 637, 648, 729, 731, 754, 794, 820, 836, 893, 911
4, 28, 34, 104, 160, 164, 212, 245, 285, 392, 406, 514, 629, 642, 662, 670, 682, 693, 698, 721, 731, 756, 758, 765, 826, 860, 873, 882, 900, 943, 984, 1008
74, 120, 134, 162, 200, 203, 213, 285, 413, 463, 476, 520, 522, 525, 567, 602, 608, 617, 664, 706, 739, 751, 831, 836, 853, 887, 905, 914, 934, 939, 949, 1010
15, 44, 81, 94, 168, 272, 376, 398, 402, 429, 433, 448, 450, 453, 489, 535, 573, 612, 619, 694, 703, 720, 799, 801, 872, 882, 923, 929, 937, 941, 988, 989
19, 49, 83, 124, 128, 150, 162, 302, 329, 363, 391, 452, 551, 563, 584, 586, 605, 671, 685, 694, 706, 721, 736, 816, 824, 829, 912, 918, 922, 929, 954, 977
43, 46, 90, 92, 138, 156, 338, 396, 407, 430, 444, 482, 499, 581, 605, 639, 655, 664, 733, 735, 752, 783, 828, 884, 922, 957, 964, 993, 994, 995, 1003, 1018
21, 24, 32, 39, 74, 135, 137, 238, 292, 404, 406, 414, 416, 444, 467, 499, 537, 577, 597, 605, 634, 661, 718, 816, 872, 909, 911, 936, 944, 949, 991, 1024
17, 37, 47, 59, 106, 117, 164, 174, 207, 217, 267, 457, 470, 472, 503, 513, 520, 551, 619, 663, 666, 695, 741, 747, 776, 789, 825, 841, 936, 978, 987, 1023
48, 73, 102, 122, 193, 194, 276, 289, 309, 329, 348, 445, 477, 483, 500, 520, 529, 582, 624, 630, 646, 661, 664, 704, 767, 770, 793, 808, 895, 904, 958, 990
28, 36, 47, 73, 114, 129, 145, 173, 196, 251, 262, 272, 291, 316, 341, 457, 464, 483, 544, 662, 693, 745, 779, 806, 823, 885, 894, 896, 928, 933, 970, 971
59, 103, 104, 160, 207, 213, 306, 343, 349, 380, 413, 424, 470, 481, 484, 513, 545, 633, 651, 724, 728, 729, 736, 790, 830, 853, 866, 897, 904, 936, 972, 975
1, 13, 26, 102, 199, 207, 290, 407, 426, 434, 460, 505, 523, 532, 535, 555, 582, 618, 629, 639, 648, 657, 678, 692, 707, 764, 811, 833, 857, 910, 950, 1024
36, 50, 87, 115, 124, 214, 262, 285, 304, 313, 354, 363, 388, 519, 526, 532, 557, 585, 660, 665, 762, 770, 796, 878, 880, 904, 916, 919, 922, 927, 932, 935
41, 70, 77, 85, 194, 200, 230, 231, 244, 282, 305, 318, 373, 402, 417, 419, 456, 462, 501, 516, 585, 596, 615, 646, 667, 750, 838, 841, 859, 895, 904, 930
19, 33, 43, 68, 81, 111, 140, 152, 218, 308, 354, 358, 366, 389, 408, 452, 496, 549, 597, 641, 650, 694, 754, 807, 940, 954, 956, 978, 1004, 1010, 1013, 1015
3, 37, 80, 88, 145, 153, 154, 206, 241, 272, 314, 358, 420, 428, 474, 492, 525, 535, 549, 686, 704, 761, 848, 860, 867, 876, 883, 892, 902, 933, 939, 970
63, 79, 88, 118, 143, 166, 189, 205, 246, 298, 307, 312, 367, 368, 405, 423, 433, 441, 456, 484, 502, 634, 689, 733, 735, 789, 823, 833, 840, 884, 986, 1006
8, 68, 85, 108, 141, 153, 181, 205, 223, 241, 253, 308, 335, 337, 355, 357, 358, 361, 362, 366, 457, 486, 487, 567, 610, 626, 636, 688, 722, 726, 873, 879
36, 51, 107, 162, 195, 223, 224, 230, 240, 273, 290, 340, 395, 400, 449, 476, 524, 526, 584, 592, 617, 637, 652, 661, 663, 685, 697, 707, 745, 755, 774, 912
3, 57, 113, 142, 148, 151, 155, 161, 182, 262, 305, 330, 338, 343, 362, 372, 438, 500, 524, 670, 688, 693, 709, 815, 817, 873, 885, 895, 905, 919, 999, 1012
53, 72, 102, 130, 145, 226, 275, 289, 335, 401, 422, 469, 484, 546, 562, 602, 619, 666, 668, 700, 711, 779, 810, 824, 852, 869, 889, 920, 931, 964, 1006, 1019
43, 56, 64, 91, 230, 249, 292, 302, 322, 330, 394, 426, 453, 457, 501, 504, 505, 512, 541, 554, 584, 605, 653, 712, 772, 871, 900, 906, 953, 957, 990, 991
47, 54, 89, 162, 219, 224, 243, 265, 276, 316, 346, 347, 356, 401, 438, 448, 533, 625, 635, 647, 672, 680, 705, 709, 735, 756, 808, 825, 846, 848, 863, 947
4, 14, 35, 41, 147, 160, 191, 259, 307, 346, 383, 392, 424, 459, 471, 498, 549, 590, 594, 609, 612, 621, 640, 751, 755, 788, 828, 829, 907, 929, 933, 958
62, 96, 176, 219, 225, 276, 277, 290, 321, 358, 371, 373, 387, 456, 479, 567, 620, 650, 689, 702, 800, 822, 849, 853, 881, 887, 895, 905, 986, 988, 1010, 1015
27, 42, 62, 136, 152, 241, 305, 336, 348, 394, 439, 444, 453, 458, 489, 507, 559, 584, 600, 631, 642, 657, 684, 688, 690, 756, 768, 791, 833, 856, 960, 961
43, 59, 135, 149, 193, 212, 242, 307, 386, 389, 419, 424, 430, 509, 521, 577, 604, 648, 654, 655, 751, 752, 763, 812, 822, 829, 832, 882, 916, 973, 983, 1013
16, 90, 157, 170, 177, 196, 255, 257, 263, 290, 293, 303, 412, 444, 492, 512, 520, 530, 605, 658, 665, 743, 786, 829, 898, 902, 906, 926, 927, 930, 941, 945
1, 48, 132, 151, 171, 206, 237, 242, 268, 295, 355, 396, 421, 438, 515, 585, 647, 686, 691, 709, 719, 726, 770, 802, 864, 902, 924, 964, 981, 986, 1009, 1021
9, 40, 41, 73, 113, 241, 255, 282, 287, 288, 349, 388, 440, 509, 573, 600, 636, 719, 723, 726, 743, 764, 771, 834, 853, 856, 866, 893, 898, 923, 934, 1004
