2 5 15 48 118 131 225 241 248 253 289 336 352 423 448 474 480 484 510 530 541 546 590 591 623
23 58 71 82 97 98 138 156 165 191 202 225 227 334 335 344 372 380 395 411 417 458 468 496 510
24 52 74 80 107 166 186 203 212 241 257 261 324 327 389 413 424 471 498 533 578 586 594 604 613
5 39 64 125 151 152 161 162 179 232 243 246 277 327 355 373 376 384 420 428 443 484 525 533 551
16 25 82 92 100 103 105 109 132 153 209 214 222 277 295 321 334 342 349 423 465 518 534 560 585
11 44 48 154 176 205 208 212 229 246 276 292 298 321 323 348 365 426 437 459 477 527 565 573 603
17 26 38 58 70 129 136 141 190 211 240 265 273 274 295 333 336 365 439 507 510 512 551 582 601
2 78 126 158 167 194 209 211 215 218 256 284 321 335 401 411 424 443 479 529 536 566 606 608 616
5 47 48 58 130 176 185 205 216 250 257 272 282 318 319 442 474 482 519 547 550 567 596 600 625
30 75 87 95 102 122 143 168 170 203 248 282 284 289 312 336 353 357 362 366 367 378 476 529 542
43 66 81 97 122 128 138 144 148 167 216 231 236 248 320 329 355 364 402 436 439 482 488 562 571
11 32 128 129 140 147 161 167 179 192 198 205 277 278 327 363 395 399 436 464 469 498 499 503 615
1 26 27 31 37 42 71 79 82 98 120 132 154 208 225 237 266 346 357 373 419 422 527 588 619
33 92 134 151 164 178 191 213 295 343 381 390 392 410 466 473 490 493 543 560 566 589 592 602 619
6 48 70 94 96 150 181 186 234 244 271 272 275 308 361 452 454 464 472 484 487 539 549 553 560
7 19 23 29 89 107 181 190 279 297 321 329 334 359 451 457 492 495 501 511 549 557 560 607 619
20 64 68 183 243 250 258 266 284 304 361 363 373 379 389 405 411 433 462 496 519 571 595 606 620
6 13 29 45 65 77 138 179 189 214 228 230 349 368 401 412 414 420 460 489 558 583 604 613 625
9 59 107 130 135 171 201 224 240 312 316 359 403 405 408 478 492 497 511 521 523 542 589 603 611
26 43 52 86 109 119 192 204 288 323 371 390 429 436 447 454 460 490 497 501 503 513 538 543 559
8 26 32 78 127 150 161 199 201 235 244 249 259 271 273 360 392 401 472 512 568 579 594 599 601
64 76 86 88 139 141 164 176 208 238 296 321 326 330 352 369 388 395 453 460 461 467 487 492 558
0 34 54 57 64 83 95 147 163 164 168 192 230 289 398 400 411 417 421 447 485 498 502 522 526
4 8 79 111 151 160 202 225 226 327 349 352 360 363 369 370 380 385 386 448 543 558 570 583 614
25 41 104 116 167 175 182 184 191 235 267 358 360 364 405 410 425 481 503 511 516 517 534 539 587
