3, 34, 47, 55, 63, 67, 73, 81, 91, 97
20, 33, 46, 49, 60, 70, 76, 77, 97, 98
6, 7, 19, 33, 53, 72, 80, 82, 89, 94
24, 28, 29, 36, 43, 49, 68, 69, 73, 100
19, 33, 35, 37, 62, 68, 73, 81, 84, 90
8, 13, 21, 24, 43, 65, 70, 81, 83, 89
4, 11, 25, 38, 40, 56, 57, 71, 82, 93
6, 10, 45, 60, 61, 65, 67, 70, 79, 89
1, 5, 6, 17, 20, 32, 37, 69, 72, 97
7, 8, 21, 27, 28, 29, 44, 78, 86, 97
3, 17, 20, 22, 33, 34, 54, 57, 64, 84
27, 56, 57, 79, 80, 83, 85, 88, 90, 91
4, 17, 24, 37, 41, 50, 72, 77, 80, 88
11, 16, 41, 55, 57, 58, 61, 76, 80, 98
3, 16, 42, 43, 47, 50, 66, 82, 83, 96
11, 18, 19, 26, 43, 44, 51, 65, 79, 80
6, 12, 20, 27, 34, 58, 60, 81, 93, 94
1, 8, 10, 22, 51, 54, 64, 76, 88, 99
8, 15, 17, 20, 22, 24, 33, 82, 86, 98
1, 21, 54, 60, 62, 65, 68, 72, 80, 83
8, 14, 15, 36, 62, 68, 70, 78, 84, 91
7, 8, 20, 21, 49, 59, 64, 67, 94, 100
24, 25, 30, 49, 60, 62, 71, 79, 85, 98
9, 20, 27, 28, 46, 50, 52, 57, 62, 99
10, 23, 32, 62, 67, 73, 76, 79, 87, 93
3, 19, 33, 42, 51, 57, 58, 68, 79, 80
3, 30, 41, 58, 73, 75, 86, 87, 96, 98
9, 18, 24, 26, 33, 35, 47, 66, 68, 88
4, 15, 16, 36, 37, 46, 73, 74, 77, 88
18, 32, 41, 43, 45, 69, 71, 75, 94, 97
9, 19, 38, 40, 43, 44, 68, 69, 77, 100
1, 3, 15, 16, 19, 48, 51, 63, 64, 87
7, 33, 40, 43, 50, 64, 67, 72, 79, 92
3, 7, 26, 41, 71, 75, 89, 93, 94, 98
2, 11, 14, 20, 37, 47, 57, 87, 92, 94
2, 6, 24, 27, 29, 48, 50, 54, 57, 79
1, 9, 12, 13, 17, 32, 36, 83, 93, 94
9, 18, 28, 36, 37, 53, 81, 82, 87, 92
12, 27, 38, 51, 56, 58, 59, 69, 93, 98
3, 4, 19, 34, 36, 56, 64, 71, 74, 85
2, 10, 23, 33, 36, 50, 68, 77, 82, 84
6, 8, 26, 35, 41, 45, 68, 76, 77, 87
2, 12, 29, 30, 62, 65, 77, 94, 95, 100
5, 24, 47, 61, 62, 66, 68, 83, 97, 98
2, 3, 16, 18, 24, 31, 68, 86, 95, 97
5, 7, 12, 16, 43, 58, 68, 85, 95, 96
44, 46, 47, 51, 52, 54, 64, 68, 98, 100
10, 22, 34, 42, 45, 52, 63, 65, 83, 87
2, 5, 7, 22, 28, 36, 42, 67, 71, 82
8, 17, 19, 25, 39, 44, 49, 86, 92, 96
1, 4, 28, 36, 37, 41, 81, 83, 85, 95
10, 17, 18, 25, 53, 54, 56, 68, 74, 100
10, 26, 28, 47, 51, 62, 69, 80, 92, 99
2, 12, 24, 32, 52, 68, 69, 75, 80, 88
4, 14, 28, 50, 54, 58, 60, 68, 69, 77
11, 18, 38, 50, 71, 79, 86, 88, 91, 99
5, 25, 35, 45, 48, 50, 58, 66, 88, 96
14, 30, 39, 48, 49, 54, 82, 83, 93, 100
14, 19, 22, 27, 31, 34, 39, 59, 94, 99
2, 18, 27, 31, 39, 60, 71, 76, 77, 85
4, 6, 16, 18, 26, 27, 42, 47, 58, 64
15, 25, 27, 35, 48, 56, 66, 80, 87, 99
1, 7, 13, 21, 27, 40, 42, 68, 77, 95
4, 18, 25, 33, 45, 58, 67, 90, 96, 98
3, 20, 25, 41, 50, 54, 57, 62, 73, 85
3, 10, 16, 21, 35, 42, 50, 59, 71, 84
9, 21, 24, 26, 50, 51, 58, 79, 87, 91
5, 24, 28, 39, 43, 65, 66, 80, 94, 100
20, 29, 32, 44, 70, 71, 73, 81, 86, 89
5, 23, 57, 61, 69, 76, 78, 86, 92, 99
23, 27, 30, 38, 47, 49, 60, 94, 99, 100
3, 6, 27, 31, 35, 41, 69, 79, 83, 86
3, 32, 45, 60, 61, 67, 78, 81, 85, 99
2, 8, 11, 14, 18, 24, 36, 51, 71, 78
3, 30, 39, 42, 46, 63, 81, 82, 87, 92
5, 8, 21, 22, 51, 52, 54, 62, 77, 93
1, 3, 4, 6, 7, 18, 20, 26, 53, 60
5, 6, 13, 29, 42, 46, 62, 64, 77, 93
1, 9, 15, 24, 42, 48, 54, 55, 83, 88
4, 13, 48, 49, 60, 67, 75, 94, 95, 97
