32, 39, 47, 59, 60, 67, 117, 144, 162, 163, 200, 216, 228, 248, 252, 254
1, 6, 11, 25, 34, 46, 49, 64, 73, 77, 79, 94, 172, 206, 218, 246
15, 16, 34, 64, 65, 74, 117, 118, 122, 127, 129, 170, 175, 182, 207, 237
28, 42, 47, 59, 91, 104, 107, 111, 115, 129, 137, 143, 145, 193, 222, 241
8, 19, 23, 24, 95, 98, 109, 136, 150, 156, 173, 180, 186, 194, 206, 256
66, 84, 134, 153, 162, 174, 178, 181, 201, 217, 221, 228, 233, 235, 242, 248
13, 16, 58, 94, 101, 134, 142, 143, 145, 176, 178, 188, 201, 223, 241, 254
18, 24, 36, 82, 113, 118, 133, 137, 147, 157, 158, 172, 202, 218, 238, 241
41, 43, 52, 70, 85, 104, 106, 114, 142, 150, 163, 172, 211, 221, 225, 249
1, 34, 62, 64, 69, 115, 117, 136, 150, 173, 195, 217, 223, 239, 243, 253
8, 13, 25, 28, 36, 82, 111, 125, 132, 133, 153, 191, 217, 223, 244, 247
33, 48, 74, 78, 79, 90, 91, 133, 143, 152, 160, 176, 196, 205, 208, 211
4, 18, 28, 35, 40, 78, 104, 107, 113, 115, 132, 154, 177, 222, 238, 249
1, 16, 18, 33, 39, 67, 104, 119, 121, 129, 148, 156, 157, 208, 239, 252
20, 24, 26, 41, 49, 73, 84, 95, 128, 139, 152, 153, 170, 184, 220, 230
35, 55, 65, 80, 102, 109, 136, 146, 183, 185, 212, 213, 224, 229, 232, 256
