2 43 79 100 112 125 130 172 188 214 233 250 252 279 306 324 385 455 473 478 483 490 563 578 597 626 656 675 681 767
36 92 96 132 143 199 260 267 340 353 395 430 476 511 543 558 583 602 623 624 627 630 632 666 675 706 730 818 821 890
34 88 96 147 153 160 176 179 228 234 243 269 286 288 324 344 377 396 424 463 484 569 604 657 669 782 805 810 853 890
40 50 68 127 129 141 142 150 176 246 264 301 334 350 359 377 513 548 559 624 668 692 755 757 792 807 845 866 883 892
43 45 60 104 108 113 125 141 156 168 177 278 282 337 345 491 509 536 541 574 581 591 614 655 704 708 713 774 794 847
10 24 41 84 87 100 127 139 182 197 227 231 234 236 349 432 471 486 498 501 535 558 612 624 661 671 704 749 766 777
69 76 80 94 97 101 123 130 172 174 211 225 249 262 271 285 306 307 325 333 439 451 496 646 683 722 754 769 783 880
8 26 111 112 116 136 183 207 256 276 294 305 320 343 362 404 448 465 531 550 562 567 573 594 596 603 640 746 801 895
9 38 53 61 88 90 144 150 171 195 264 289 292 422 424 441 450 464 539 599 632 639 689 696 736 776 781 808 829 885
24 59 63 64 72 172 214 278 308 313 320 328 344 374 387 453 462 527 549 565 569 586 642 643 765 797 811 838 870 895
0 11 61 93 144 153 201 231 262 275 296 299 326 379 418 513 525 540 574 630 632 698 703 734 752 761 762 823 884 892
39 43 58 63 121 143 178 182 286 288 332 348 432 462 476 502 513 526 548 555 571 587 635 688 748 771 783 790 802 875
9 66 72 104 111 126 170 196 203 229 241 291 299 306 332 350 428 440 494 551 581 617 710 743 748 771 823 879 881 882
49 65 112 119 121 131 153 176 208 224 244 271 288 323 377 389 424 579 631 642 660 666 691 699 701 771 783 797 798 894
41 111 147 185 225 250 260 271 274 303 325 329 338 358 419 454 461 470 524 558 656 667 685 687 690 715 790 828 879 897
80 87 89 287 312 318 358 374 401 431 447 451 470 532 539 543 600 601 651 664 756 768 797 809 811 823 829 868 886 894
10 42 51 62 78 95 109 154 193 214 215 227 321 342 364 477 522 527 563 572 600 653 663 692 698 792 795 801 816 846
19 54 87 89 118 152 157 165 168 169 203 230 292 330 364 378 383 400 507 534 636 666 676 687 701 709 733 848 849 885
45 52 126 142 162 249 325 336 352 410 446 467 472 490 495 512 518 530 552 557 636 652 664 672 765 787 801 872 881 898
31 45 85 109 147 151 175 196 206 283 307 357 365 451 493 530 537 573 576 616 621 625 629 664 686 702 792 809 892 896
7 42 43 69 96 112 161 195 230 245 253 275 320 383 387 397 519 543 601 602 627 629 637 694 695 701 742 764 843 890
52 84 113 140 200 259 261 303 317 382 410 425 482 493 528 547 578 580 597 598 623 655 667 683 720 725 761 836 851 871
40 53 58 171 202 238 266 300 304 403 411 423 431 450 467 486 560 615 624 667 684 749 767 777 786 852 859 864 879 886
19 71 143 145 255 338 371 381 383 384 450 461 485 490 511 512 525 544 546 582 613 686 729 746 748 783 792 813 863 870
38 51 71 72 160 316 328 331 353 363 380 421 444 468 479 562 625 634 697 699 702 710 712 754 802 812 846 850 863 897
16 21 27 45 55 80 118 165 186 210 259 302 304 315 326 402 453 500 526 538 594 603 608 624 679 686 706 816 828 885
10 17 19 72 89 133 151 185 187 208 304 329 364 375 385 437 446 476 599 602 621 658 681 688 775 778 821 827 846 847
43 63 81 88 93 116 130 134 136 140 156 184 230 273 274 294 318 453 574 598 714 720 735 736 753 755 758 791 826 867
45 46 53 61 101 144 145 189 205 221 249 283 293 336 347 389 400 443 472 600 660 669 676 693 699 749 770 827 836 870
49 164 179 220 268 269 270 354 357 382 483 505 516 534 585 587 605 633 685 706 739 760 765 768 791 817 833 848 854 860
