2, 9, 12, 23, 38, 60, 85, 115, 143, 162, 166, 226, 227, 229, 230, 236
8, 18, 30, 43, 54, 114, 120, 140, 154, 182, 186, 189, 191, 238, 249, 253
6, 14, 23, 35, 40, 74, 122, 137, 163, 175, 180, 187, 191, 213, 216, 238
7, 14, 23, 26, 28, 36, 43, 44, 52, 57, 127, 138, 184, 196, 202, 254
2, 30, 58, 67, 84, 88, 91, 106, 140, 156, 164, 174, 188, 212, 237, 251
12, 37, 68, 87, 89, 111, 137, 144, 162, 168, 186, 193, 197, 202, 207, 213
19, 41, 60, 75, 82, 101, 121, 146, 148, 170, 174, 179, 203, 209, 221, 241
9, 14, 15, 18, 33, 44, 56, 61, 66, 82, 115, 143, 196, 216, 230, 240
5, 30, 45, 68, 69, 81, 118, 132, 155, 168, 182, 186, 189, 191, 249, 254
27, 31, 32, 38, 40, 47, 60, 91, 112, 136, 156, 176, 205, 230, 236, 252
3, 32, 77, 84, 115, 116, 154, 167, 169, 182, 206, 223, 224, 226, 237, 247
21, 30, 42, 55, 82, 87, 97, 109, 139, 160, 164, 168, 191, 197, 201, 204
1, 3, 23, 46, 79, 111, 119, 125, 128, 132, 145, 171, 173, 179, 211, 240
24, 43, 65, 88, 93, 97, 120, 130, 138, 150, 198, 199, 230, 238, 241, 247
19, 46, 58, 85, 121, 123, 129, 134, 155, 218, 219, 223, 229, 238, 240, 251
14, 23, 28, 63, 67, 98, 111, 142, 151, 152, 153, 170, 183, 213, 218, 235
