1 16 39 61 66 100 114 117 202 216 236 256 270 278 302 303 343 347 349 365
18 39 51 70 73 127 137 146 152 157 176 220 244 250 291 340 343 355 392 400
1 8 15 41 92 96 116 125 137 141 219 230 232 240 268 297 328 349 379 383
29 39 66 72 83 91 135 154 195 197 217 226 228 241 250 342 362 369 380 384
3 15 51 108 123 135 144 152 175 194 215 216 222 231 288 326 361 366 384 385
5 55 61 70 75 91 126 191 199 213 260 283 289 318 346 363 371 391 395 397
8 25 30 40 51 104 115 147 156 177 217 218 225 298 306 323 332 375 378 397
2 25 39 49 100 119 126 133 137 142 161 202 249 269 286 288 300 369 373 383
1 14 17 65 88 141 142 158 245 253 268 271 297 325 328 331 344 346 353 382
3 6 47 75 77 103 108 153 165 175 210 244 283 294 296 302 303 329 392 396
18 25 45 46 50 92 139 189 192 196 204 246 268 271 284 288 331 358 377 378
22 44 53 69 86 102 103 116 146 164 219 269 276 293 321 346 378 379 383 392
15 21 38 45 63 128 133 162 167 192 208 215 218 226 228 257 283 314 364 370
36 42 52 63 92 93 96 132 141 150 161 235 240 242 265 334 345 390 396 397
7 39 59 64 76 90 95 103 113 127 138 146 166 211 237 321 333 339 348 389
14 21 31 38 85 101 133 155 161 208 262 267 274 276 287 309 315 338 367 389
20 32 63 68 75 108 137 144 145 156 170 188 216 239 246 249 317 382 391 396
41 81 92 107 118 131 132 153 159 191 195 209 214 232 239 241 257 280 341 369
6 25 33 59 64 68 174 180 201 214 261 266 280 304 321 331 358 393 398 399
31 34 56 62 72 75 84 139 155 167 170 173 192 213 234 338 340 341 358 361
