13 94 99 103 151 160 199 205 208 224 236 243 263 282 288 292 296 308 376 387
13 18 71 82 92 102 129 133 174 204 220 234 250 273 277 298 304 342 378 391
1 4 24 33 50 93 94 95 137 145 148 150 249 255 257 283 292 293 363 365
38 39 55 61 78 87 171 172 174 258 271 304 313 324 336 340 342 352 387 389
0 5 40 42 54 62 140 144 159 175 185 224 244 265 275 299 303 325 345 371
15 22 40 47 49 52 56 61 70 82 101 148 163 225 238 326 336 370 378 382
8 11 24 32 50 58 66 86 113 126 147 171 189 203 252 273 281 286 303 359
16 17 20 65 73 106 135 150 156 190 192 227 246 270 287 289 292 311 312 400
6 21 32 45 52 65 140 156 167 172 208 224 255 262 277 280 289 298 369 383
28 93 117 118 121 126 137 138 147 197 221 244 287 293 307 325 344 353 355 358
8 12 15 78 88 116 184 203 208 216 229 257 263 293 302 321 342 352 368 381
23 49 64 77 98 116 147 151 153 154 158 168 223 259 280 297 322 363 369 383
12 72 74 77 99 121 137 152 154 164 190 205 211 212 240 309 340 363 367 376
15 34 46 52 58 79 123 142 147 224 269 275 277 318 320 321 327 365 386 395
40 56 57 65 90 96 113 146 162 168 169 171 176 187 196 203 213 235 325 394
2 24 56 95 122 138 140 147 151 167 190 213 245 249 285 287 328 347 360 390
12 18 21 25 67 82 142 165 167 193 239 256 257 258 310 314 333 372 384 399
0 10 11 20 27 32 42 170 178 181 191 217 269 276 293 295 362 369 394 395
2 25 37 42 54 64 78 83 112 136 165 166 187 223 238 284 292 308 393 397
18 27 47 82 98 137 154 165 167 185 203 218 220 245 288 306 335 342 354 389
