5 59 95 102 119 121 125 137 138 149 152 185 186 197 256 269 287 304 335 350 356 402 602 637 678 707 720 754 810 823
21 100 132 163 214 236 237 308 375 380 493 497 595 610 619 643 656 690 700 711 736 764 780 786 793 804 812 837 839 848
9 14 48 78 105 143 150 208 237 238 265 273 312 398 425 435 453 467 490 575 585 682 722 738 772 812 824 828 868 883
12 28 42 71 72 135 147 162 178 180 326 336 369 387 393 486 495 496 506 535 538 604 616 624 676 754 839 849 872 879
8 11 96 111 157 184 203 220 238 326 330 333 348 349 394 414 446 478 482 508 531 567 593 626 744 760 780 804 814 883
5 34 36 69 71 99 116 143 145 204 239 243 348 402 404 438 440 480 555 590 657 665 719 726 736 781 783 788 805 820
132 209 278 279 307 351 374 395 400 436 438 458 503 519 521 531 556 565 574 601 603 614 678 683 703 708 732 744 746 771
11 37 39 108 147 163 167 173 231 258 264 267 317 331 374 387 391 439 502 562 569 625 634 635 698 779 784 800 870 890
40 47 67 89 109 124 184 192 206 252 303 351 361 365 368 384 396 404 456 529 538 573 592 599 640 684 740 810 817 862
14 51 53 61 66 118 169 200 236 259 285 309 313 318 329 358 366 468 480 482 503 593 632 653 662 745 844 860 870 888
50 76 77 140 144 156 184 253 299 376 406 409 442 498 510 535 546 597 615 651 654 668 715 724 726 787 809 822 830 862
26 57 131 133 153 155 162 167 175 218 223 227 257 261 264 293 306 350 366 408 654 694 720 725 777 822 851 877 885 892
9 124 141 158 166 174 185 225 234 290 314 318 393 396 409 418 440 464 471 473 481 482 493 559 564 771 778 790 801 868
64 94 121 219 222 229 248 262 270 284 299 321 337 346 537 552 557 563 575 601 611 628 656 681 708 709 731 733 842 876
2 13 33 48 98 119 215 246 268 307 348 364 373 386 450 460 504 547 610 617 645 713 716 722 740 780 815 834 849 862
61 73 130 134 137 157 235 314 352 358 463 484 485 520 542 573 644 657 663 674 686 713 727 744 783 785 790 816 828 871
22 83 129 166 178 205 209 246 299 328 429 439 443 465 469 471 478 484 505 522 530 580 613 638 734 761 843 868 886 892
5 56 105 123 159 161 193 207 230 252 257 289 304 379 398 399 435 524 585 620 623 660 701 717 729 735 760 780 837 896
101 121 156 187 198 220 231 293 329 359 363 375 382 397 407 409 410 416 489 501 553 578 692 720 759 788 809 831 839 843
7 26 100 133 147 160 218 252 276 288 317 332 380 401 437 441 472 489 514 554 563 646 727 734 752 770 789 806 835 865
10 11 12 14 20 71 105 128 134 236 310 319 364 396 429 434 437 457 528 530 535 646 717 725 738 741 773 876 884 898
18 42 46 131 166 170 179 227 249 272 285 305 314 392 451 452 467 482 488 528 547 589 616 637 665 669 700 816 848 899
4 29 75 79 138 198 247 257 265 313 363 412 446 470 491 523 539 562 577 582 665 720 737 749 753 762 814 835 844 873
147 156 159 230 235 243 250 258 260 264 267 290 298 307 348 385 409 439 453 474 481 485 492 582 591 605 642 655 706 820
69 89 118 214 228 251 282 321 324 336 354 399 431 438 573 582 642 688 697 737 760 776 791 793 800 809 843 845 854 858
25 54 68 110 149 170 207 283 317 330 350 425 444 451 457 483 501 512 603 647 648 659 669 674 681 703 759 805 814 848
11 16 18 112 124 148 152 200 232 233 274 285 363 368 425 498 538 583 600 610 623 661 707 719 727 730 774 782 838 880
121 151 162 164 236 255 263 317 361 363 434 442 445 473 490 509 528 544 548 570 591 641 738 764 774 789 831 858 860 894
8 14 68 86 235 251 255 257 297 314 341 481 521 525 551 557 582 583 599 622 665 685 688 700 705 751 764 819 834 848
34 45 79 95 114 125 135 189 193 197 198 202 210 212 290 364 365 423 425 476 520 535 594 678 760 789 794 870 889 897
