11, 30, 89, 97, 144, 399, 444, 447, 711, 765, 1133, 1374, 1630, 1917, 1980, 2096, 2123, 2279, 2403, 2471, 2530, 2551, 2771, 2784, 2806, 2810, 2859, 3049, 3125, 3183, 3233, 3300, 3424, 3502, 3551, 3626, 3768, 3788, 3881, 3893, 3962, 4205, 4611, 4661, 4872, 4955, 5128, 5325, 5333, 5429, 5476, 5641, 5891, 5924, 5968, 6014, 6022, 6045, 6052, 6256, 6258, 6319, 6445, 6464, 6542, 6558, 6603, 6761, 6769, 6811, 6911, 6936, 6949, 7110, 7164, 7302, 7344, 7426, 7441, 7597, 7798, 7820, 8089, 8219, 8296, 8401, 8452, 8474, 8505, 8589, 8656, 8732, 8790, 8845, 9079, 9119, 9469, 9585, 9740, 9967
34, 285, 467, 471, 814, 1368, 1400, 1453, 1494, 1522, 1528, 1551, 1574, 1588, 1668, 1829, 2072, 2283, 2370, 2499, 2533, 2573, 2667, 2675, 2805, 2905, 2919, 2978, 3071, 3132, 3218, 3257, 3298, 3616, 3730, 3748, 3829, 4250, 4435, 4516, 4581, 4583, 4641, 4654, 4677, 4681, 4695, 4854, 4954, 5107, 5273, 5440, 5459, 5534, 5668, 5670, 5704, 5719, 5745, 5830, 6556, 6605, 6638, 6686, 6755, 6987, 7029, 7084, 7255, 7524, 7595, 7603, 7921, 8079, 8115, 8182, 8289, 8301, 8407, 8721, 8760, 8777, 8830, 8838, 8843, 8954, 9018, 9106, 9201, 9301, 9367, 9444, 9564, 9615, 9647, 9842, 9881, 9914, 9916, 9924
114, 189, 288, 356, 399, 522, 556, 732, 799, 898, 954, 1042, 1089, 1186, 1448, 1528, 1644, 1691, 1698, 1745, 1760, 1842, 1964, 1990, 2216, 2251, 2414, 2648, 2674, 2827, 2845, 2854, 3067, 3114, 3128, 3396, 3412, 3758, 3778, 3828, 4046, 4064, 4100, 4123, 4376, 4464, 4518, 4574, 4738, 4871, 4991, 5246, 5323, 5437, 5542, 5916, 5955, 6061, 6067, 6152, 6274, 6277, 6316, 6406, 6613, 6679, 6755, 6859, 6901, 7007, 7068, 7184, 7319, 7375, 7452, 7540, 7567, 7585, 7594, 7627, 7804, 7872, 7901, 8064, 8218, 8690, 8843, 8922, 8923, 9011, 9434, 9564, 9600, 9606, 9621, 9660, 9717, 9787, 9974, 9989
30, 39, 498, 578, 843, 889, 934, 944, 1113, 1128, 1178, 1188, 1193, 1433, 1434, 1495, 1534, 1538, 1561, 1586, 1598, 1617, 1918, 2001, 2082, 2087, 2120, 2164, 2429, 2528, 2619, 2686, 2711, 2811, 2915, 2989, 3043, 3186, 3191, 3216, 3269, 3639, 3682, 3799, 3847, 3896, 4229, 4230, 4241, 4281, 4413, 4490, 4500, 4671, 4691, 4707, 4710, 4816, 5009, 5014, 5053, 5164, 5180, 5188, 5197, 5437, 5676, 5829, 5863, 6003, 6392, 6559, 6772, 6933, 6959, 7074, 7211, 7227, 7311, 7489, 7540, 7607, 7870, 7949, 8127, 8193, 8249, 8362, 8538, 8594, 8628, 8647, 8668, 8943, 9238, 9390, 9483, 9594, 9678, 9911
138, 288, 347, 518, 533, 567, 680, 688, 734, 1006, 1018, 1142, 1304, 1377, 1440, 1510, 1601, 1617, 1716, 1837, 2041, 2211, 2302, 2421, 2604, 2693, 2741, 3064, 3099, 3110, 3198, 3206, 3266, 3390, 3488, 3629, 3661, 4154, 4161, 4254, 4612, 4661, 4835, 5050, 5061, 5083, 5158, 5164, 5428, 5569, 5695, 5761, 5773, 5860, 5862, 5880, 5990, 6020, 6051, 6154, 6248, 6510, 7086, 7219, 7426, 7468, 7574, 7675, 7803, 7915, 7951, 7956, 7969, 8288, 8451, 8480, 8482, 8486, 8500, 8759, 8789, 8837, 8914, 9006, 9054, 9063, 9079, 9199, 9205, 9304, 9358, 9369, 9370, 9403, 9473, 9539, 9604, 9714, 9777, 9993
204, 245, 258, 273, 274, 288, 368, 448, 563, 587, 682, 689, 985, 1026, 1260, 1305, 1356, 1381, 1392, 1502, 1520, 2167, 2200, 2259, 2312, 2332, 2388, 2394, 2535, 2579, 2621, 2794, 2835, 3216, 3247, 3282, 3298, 3399, 3425, 3452, 3876, 3980, 4025, 4266, 4342, 4380, 4428, 4434, 4887, 5051, 5270, 5377, 5456, 6160, 6280, 6411, 6512, 6672, 6744, 6756, 6860, 6910, 6958, 6961, 7070, 7094, 7180, 7331, 7442, 7553, 7664, 7912, 7967, 8010, 8042, 8135, 8369, 8493, 8524, 8596, 8625, 8848, 8923, 8956, 9031, 9082, 9140, 9141, 9259, 9361, 9521, 9530, 9532, 9551, 9682, 9779, 9836, 9913, 9948, 9957
48, 131, 262, 271, 481, 717, 725, 855, 906, 992, 1141, 1172, 1179, 1271, 1378, 1480, 1568, 1765, 1795, 2023, 2057, 2106, 2271, 2281, 2314, 2438, 2453, 2555, 2625, 2723, 2764, 2813, 2924, 2943, 2990, 3030, 3077, 3090, 3189, 3242, 3312, 3400, 3417, 3451, 3601, 3654, 3884, 3944, 4007, 4083, 4157, 4283, 4392, 4408, 4426, 4478, 4555, 4728, 4816, 4913, 5153, 5425, 5526, 5600, 5610, 6093, 6125, 6167, 6334, 6340, 6343, 6344, 6383, 6478, 6625, 6643, 6725, 6747, 6754, 6979, 7236, 7533, 7544, 7836, 8047, 8194, 8389, 8506, 8574, 8614, 8840, 8855, 8955, 9040, 9113, 9121, 9674, 9751, 9868, 9875
5, 179, 366, 444, 535, 596, 679, 723, 779, 884, 1080, 1168, 1559, 1639, 1785, 1858, 1907, 1984, 1997, 2153, 2323, 2473, 2924, 2928, 2935, 3003, 3005, 3144, 3154, 3177, 3591, 3903, 3934, 3976, 3983, 4006, 4059, 4096, 4131, 4164, 4250, 4265, 4297, 4357, 4491, 4509, 4614, 4681, 4728, 4801, 4889, 5162, 5239, 5307, 5308, 5447, 5482, 6030, 6037, 6088, 6105, 6160, 6195, 6281, 6370, 6411, 6594, 6655, 6663, 6792, 6880, 6974, 7152, 7224, 7264, 7477, 7564, 7734, 7912, 8051, 8313, 8397, 8429, 8598, 8718, 8837, 8863, 9092, 9098, 9141, 9184, 9262, 9292, 9408, 9413, 9491, 9591, 9936, 9946, 9986
96, 218, 393, 453, 624, 695, 982, 1042, 1323, 1442, 1549, 1679, 1925, 2145, 2183, 2204, 2231, 2385, 2527, 2572, 2674, 2858, 2991, 2995, 3018, 3174, 3261, 3380, 3600, 3657, 3663, 3756, 3843, 3860, 3878, 3932, 4004, 4048, 4050, 4097, 4322, 4362, 4373, 4739, 4759, 4787, 4859, 4886, 4895, 4908, 4918, 4945, 5046, 5065, 5105, 5394, 5534, 5559, 5561, 5587, 5604, 5830, 5930, 5936, 6080, 6132, 6155, 6413, 6490, 6702, 6797, 7007, 7084, 7342, 7509, 7582, 7779, 7879, 8003, 8051, 8097, 8239, 8338, 8384, 8430, 8469, 8615, 8720, 8861, 8973, 8986, 9040, 9103, 9418, 9498, 9515, 9643, 9720, 9820, 9948
102, 129, 166, 199, 297, 336, 356, 393, 491, 502, 577, 585, 808, 1029, 1094, 1099, 1395, 1423, 1437, 1463, 1558, 1571, 1793, 1882, 1928, 2117, 2121, 2232, 2240, 2372, 2522, 2859, 2930, 2948, 2976, 3182, 3223, 3277, 3278, 3432, 3472, 3524, 3541, 3599, 3657, 3766, 3937, 3956, 4175, 4317, 4503, 4574, 4591, 4909, 4974, 5003, 5090, 5100, 5127, 5155, 5415, 5554, 5690, 5730, 5748, 5767, 6032, 6041, 6281, 6477, 6513, 6532, 6564, 6670, 6701, 6843, 6846, 6873, 6888, 7015, 7050, 7264, 7378, 7880, 7983, 8137, 8303, 8310, 8326, 8544, 8699, 8722, 8773, 9032, 9055, 9192, 9496, 9536, 9540, 9620
